pair_index,a_index,a_name,a_role,a_location,b_index,b_name,b_role,b_location,match_score,strategy
1,37,Eitan Rosen,ML Scientist/Researcher,"Toronto, Canada",93,Maya Cohen,ML Scientist/Researcher,"Toronto, Canada",0.881799363382553,priority-first
2,10,Oliver Stone,Cloud Architect,USA,65,Marcus Green,ML Engineer,New York City,0.6814132294120075,priority-first
3,63,Eleanor Park,Data Scientist,Bay Area (Los Altos),21,Dr. Helena Novak,Data Scientist,"Chicago, USA",0.7930443395934971,priority-first
4,15,Claire F. Donovan,Management,"Boston, USA",61,Aisha Collins,Management,"Washington, DC",0.8529271205174341,priority-first
5,67,Maya Chen,Head of AI,Bay Area,88,Arielle Dubois,Head of AI,Bay Area,0.8733807619859858,priority-first
6,71,Olivia Martinez,Management,Los Angeles,89,Evelyn Hartman,Management,"Washington, DC",0.8056207655864954,priority-first
7,57,Caleb Turner,Software Engineer,"Austin, TX",35,Sofia Alvarez,Data Engineer,"Austin, TX",0.791995610738323,priority-first
8,1,Ethan K. Morales,Data Engineer,"New York, USA",33,Francesco Bianchi,Data Engineer,Italy,0.788900820462526,priority-first
9,32,Maya Patel,ML Scientist/Researcher,"San Francisco, CA",23,Rafael Gomes,ML Scientist/Researcher,"São Paulo, Brazil",0.78220726912907,priority-first
10,86,Noah Thompson,ML Engineer,New York City,52,Rafael Cruz,ML Engineer,"Levittown, NY, US",0.853338428744822,priority-first
11,47,Tudor Ionescu,Founder,"London, UK",80,Arjun Mehta,Founder,India,0.7732789373177701,priority-first
12,42,Sanne de Vries,ML Scientist/Researcher,"Rotterdam, Netherlands",92,Jasper van Dijk,ML Scientist/Researcher,"Rotterdam, the Netherlands",0.847458196488516,priority-first
13,39,Milan Kovac,Start up life...,"Belgrade, Serbia",22,James Alder,Software Engineer,"UK, remote",0.6211107338574838,priority-first
14,25,Lars Mikkelsen,Management,"Copenhagen, Denmark",59,Giorgio Russo,Data Engineer,Italy,0.6827346613849277,priority-first
15,26,Priyanka Rao,ML Scientist/Researcher,"Chicago, USA",74,Evan Brooks,ML Scientist/Researcher,"Denver, CO, USA",0.7851528615936757,priority-first
16,75,Hannah Li,ML Engineer,"Denver, CO",66,Sanjay Rao,ML Engineer,New York City,0.8264284500297786,priority-first
