synthetic_id,source_participant_id,synthetic_name,role,buddy_preferences,location,summary,buddy_preference,skills,company,career_stage
cnwMaUbCBcSZFVnddChRxg,1zd9k4,Lena Sørensen,ML Scientist/Researcher,"Interested in LLMs, agentic systems, computer vision, sensor fusion and topics around autonomous mobility; prefers remote-first collaboration.","Copenhagen, Denmark",Research engineer with a PhD in multimodal AI. Previously worked on perception for autonomous platforms and now focuses on object detection from remote sensing and LLM-based tools.,My Buddy should be in a similar role as me,"['Computer Vision', 'Multimodal Learning', 'Sensor Fusion', 'Perception']",Nordic Perceptics,3 - 5 Years of Experience
37NJdUAiWGZ7CRU9snKdjn,8YQ1oP,Daniel Reed,Data Scientist,"Would value a partner with robotics exposure, or someone keen to collaborate on coding projects and hackathons.","Bay Area (Los Altos), USA","Passionate about building safe, socially-aware AI agents and long-term robotics systems. Background in product-focused data work and cloud ML tooling.",No,"['Product management', 'Data Science', 'Google Cloud', 'Azure', 'Spark', 'Python', 'Kubernetes', 'Docker', 'RAG', 'LLM tooling']",OnlineMatter Labs,10+ Years of Experience
jj4gnwcvjTB4K4FdFfeR43,DZj2oE,Aisha Malik,ML Scientist/Researcher,Prefer a match with senior management experience (managed 10+ people or managers of managers) and a background in healthcare or biotech.,"Chicago, IL, USA","Applied math PhD with patents in vision; experience across insurance, healthcare and software. Mentor to many junior practitioners. New parent who enjoys social dancing and gardening.",No,"['Python', 'Computer Vision', 'Multilingual NLP', 'Active Learning', 'Statistical Estimation', 'Time Series']",Midwest AI Solutions,5 - 10 Years of Experience
5krcpNLvvFV27ZEA5875mN,vdZpKd,Pushkar Nair,Student,Looking for someone to teach practical AI skills to help prepare for future work in the field.,"Dublin, Ireland",Former testing engineer pursuing a master's in AI/ML. Holds an AZ-900 Azure cert and has built small RAG/agent experiments using lightweight LLM runtimes and local model tooling.,No,"['Python', 'RAG', 'Machine Learning', 'Text Analytics', 'LLMs', 'AI Agents']",Student,1 - 3 Years of Experience
Nnwdc6KrDXc6Mv2DrWtBsb,NRLZ8j,Maya Ortiz,ML Engineer,"Would like to connect with entrepreneurs, consultants or folks in leadership roles.","Vancouver, Canada","AI consultant helping startups define AI strategy and build practical solutions, with focus on product fit and delivery.",My Buddy should be in a similar role as me,"['MLOps', 'Generative AI', 'NLP', 'AI Strategy']",Sentara AI Consulting,5 - 10 Years of Experience
bwL2RY8272XtznT7Gn2jDB,ErNWEq,Ravi Kulkarni,Data Scientist,Experience in product-focused AI roles is appealing.,"Bengaluru, India","Working on generative AI and applied machine learning for product teams, helping integrate models into customer-facing features.",No,"['AI', 'Machine Learning', 'Generative AI', 'MLOps']",UKG Innovations,5 - 10 Years of Experience
GTdr88U5JvDjmkQb7fmFyc,aPLB1y,Arjun Patel,Software Engineer,"Open to buddies who can advise on taking models to production — Kubeflow, MLflow, DVC, etc.","Pune, India","Cloud and ops-focused engineer who enjoys building reliable infrastructure. Curious about model deployment, scaling, and production ML workflows.",No,"['Kubernetes', 'Linux', 'AWS EKS', 'Cloud Ops', 'Containerization']",Nimbus Ops,1 - 3 Years of Experience
m7ACsHfZCSyLu25PzERXkD,XKE1N4,Eleni Georgiou,Backend Integration and Data Manager,Interested in peers working on private deployments of AI/ML and production infrastructure.,"Nicosia, Cyprus","Hands-on with data systems: Kubernetes, Kafka, data warehouses and integrating LLMs into private deployments and internal tools.",No,"['Kubernetes', 'Kafka', 'AI Infrastructure', 'Data Engineering', 'Databases']",Mediterranean Dataworks,10+ Years of Experience
ZJ2dXkoUGvao3Fh4WJWxBD,JZJ2BR,Owen Martinez,Software Engineer,"Seeking someone experienced with real-world MLOps — deployments, monitoring, drift detection and pipeline tooling (Kubeflow/MLflow/Vertex).","Austin, TX, USA","Principal software engineer with a strong backend and devops background, exploring agentic workflows and deeper MLOps practices.",My Buddy should be in a similar role as me,"['Python', 'Docker', 'Kubernetes', 'Distributed Systems', 'LangChain', 'CI/CD']",Cloudbridge Systems,10+ Years of Experience
RcodF2gmj9A6Ar3wGUUQB9,b6BDZo,Sofia Ramirez,Management,Wants to connect with experienced women leaders in tech to share learnings and mentorship.,"Los Angeles, CA, USA",Operations and finance leader with entrepreneurial experience; also active in creative pursuits like dance and writing.,My Buddy should be in a similar role as me,"['Accounting', 'Management', 'Business Operations', 'Leadership', 'Writing']",Butalia Consulting,10+ Years of Experience
TXz257dxVrHcuvDA9VNrhA,6pO9xA,Marco Lombardi,Data Engineer,No strict requirements — enjoys meeting interesting people in data and ML.,"Milan, Italy","Senior data engineer focused on architecture, data quality and building reliable pipelines across cloud platforms while working remotely with distributed teams.",No,"['Data Architecture', 'Data Modelling', 'Spark', 'Airflow', 'DBT', 'AWS', 'BigQuery', 'Observability']",PlayData Labs,10+ Years of Experience
dp27JF4LKQL8pfw9RHYc2N,2G17Qp,Naomi Chen,ML Engineer,Looking for people working on MLOps and AI platforms; wants to grow infra/DevOps skills.,"New York City, NY, USA","Machine learning engineer building AI platform features for lifecycle automation, deployment, monitoring and iteration. Enjoys design and product thinking alongside technical work.",My Buddy should be in a similar role as me,"['MLOps', 'AI Platforms', 'Deployment', 'Model Monitoring', 'AWS', 'GCP']",JustForge,10+ Years of Experience
